2017-01-01,4084274,66,66_13,2,73170,70200,73432.0,70218.0,2017-01-014084274
2017-01-01,4084275,66,66_13,2,55763,52200,55486.0,52218.0,2017-01-014084275
2017-01-01,4084276,66,66_13,2,45505,41400,44873.0,41452.0,2017-01-014084276
2017-01-01,4084277,66,66_13,2,33728,30600,33553.0,30741.0,2017-01-014084277
2017-01-01,4084298,66,66_13,2,76770,73800,76262.0,73755.0,2017-01-014084298
2017-01-01,4084299,66,66_13,2,67015,63000,,62976.0,2017-01-014084299
2017-01-01,4084300,66,66_13,2,48563,45000,48341.0,44980.0,2017-01-014084300
2017-01-01,4084301,66,66_13,2,37328,34200,37021.0,34183.0,2017-01-014084301
2017-01-01,4084302,66,66_13,2,80576,77400,80735.0,77412.0,2017-01-014084302
2017-01-01,4084303,66,66_13,2,70615,66600,71500.0,66616.0,2017-01-014084303
2017-01-01,4084304,66,66_13,2,59815,55800,59279.0,55809.0,2017-01-014084304
2017-01-01,4084312,66,66_13,2,87776,84600,,84621.0,2017-01-014084312
2017-01-01,4084326,66,66_13,2,84176,81000,83774.0,81014.0,2017-01-014084326
2017-01-01,4084338,66,66_13,2,63415,59400,,59408.0,2017-01-014084338
2017-01-01,4084339,66,66_13,2,52163,48600,51826.0,48622.0,2017-01-014084339
2017-01-01,4084342,66,66_13,2,41905,37800,,37812.0,2017-01-014084342
2017-01-01,4084343,66,66_13,2,31928,28800,32373.0,28841.0,2017-01-014084343
2017-01-01,4084364,66,66_11,1,68951,64500,68101.0,,2017-01-014084364
2017-01-01,4084365,66,66_11,1,50637,46500,49983.0,46512.0,2017-01-014084365
2017-01-01,4084366,66,66_11,1,39211,35700,38885.0,35764.0,2017-01-014084366
2017-01-01,4084386,66,66_11,1,72334,68100,71347.0,,2017-01-014084386
2017-01-01,4084387,66,66_11,1,61751,57300,60963.0,57283.0,2017-01-014084387
2017-01-01,4084388,66,66_11,1,42809,39300,42676.0,39292.0,2017-01-014084388
2017-01-01,4084389,66,66_11,1,87089,83100,86255.0,83118.0,2017-01-014084389
2017-01-01,4084390,66,66_11,1,75934,71700,75222.0,71688.0,2017-01-014084390
2017-01-01,4084391,66,66_11,1,65351,60900,64723.0,60894.0,2017-01-014084391
2017-01-01,4084392,66,66_11,1,54237,50100,54110.0,50083.0,2017-01-014084392
2017-01-01,4084397,66,66_11,1,82889,78900,83153.0,,2017-01-014084397
2017-01-01,4084410,66,66_11,1,79289,75300,78732.0,75298.0,2017-01-014084410
2017-01-01,4084423,66,66_11,1,58151,53700,57216.0,53695.0,2017-01-014084423
2017-01-01,4084424,66,66_11,1,46409,42900,46069.0,42894.0,2017-01-014084424
2017-01-01,4084428,66,66_11,1,36811,33300,36250.0,33338.0,2017-01-014084428
2017-01-01,4084429,66,66_11,1,29011,25500,28686.0,25526.0,2017-01-014084429
2017-01-02,4084274,66,66_13,2,73170,70200,73451.0,,2017-01-024084274
2017-01-02,4084275,66,66_13,2,55763,52200,56073.0,52218.0,2017-01-024084275
2017-01-02,4084276,66,66_13,2,45505,41400,44913.0,41328.0,2017-01-024084276
2017-01-02,4084277,66,66_13,2,33728,30600,33532.0,30570.0,2017-01-024084277
2017-01-02,4084298,66,66_13,2,76770,73800,,73850.0,2017-01-024084298
2017-01-02,4084299,66,66_13,2,67015,63000,66938.0,62963.0,2017-01-024084299
2017-01-02,4084300,66,66_13,2,48563,45000,48454.0,44958.0,2017-01-024084300
2017-01-02,4084301,66,66_13,2,37328,34200,36963.0,34181.0,2017-01-024084301
2017-01-02,4084302,66,66_13,2,80576,77400,80514.0,77384.0,2017-01-024084302
2017-01-02,4084303,66,66_13,2,70615,66600,71531.0,66556.0,2017-01-024084303
2017-01-02,4084304,66,66_13,2,59815,55800,58957.0,55767.0,2017-01-024084304
2017-01-02,4084312,66,66_13,2,87776,84600,,84591.0,2017-01-024084312
2017-01-02,4084338,66,66_13,2,63415,59400,62970.0,59398.0,2017-01-024084338
2017-01-02,4084339,66,66_13,2,52163,48600,51682.0,48614.0,2017-01-024084339
2017-01-02,4084342,66,66_13,2,41905,37800,,37799.0,2017-01-024084342
2017-01-02,4084343,66,66_13,2,31928,28800,33309.0,28872.0,2017-01-024084343
2017-01-02,4084365,66,66_11,1,50637,46500,50048.0,46456.0,2017-01-024084365
