date,type,timestamp
"2017-06-16 00:00:00",school,1497571200
"2017-06-19 00:00:00",school,1497830400
"2017-06-20 00:00:00",school,1497916800
"2017-06-21 00:00:00",school,1498003200
"2017-06-22 00:00:00",school,1498089600
"2017-06-23 00:00:00",school,1498176000
"2017-06-26 00:00:00",school,1498435200
"2017-06-27 00:00:00",school,1498521600
"2017-06-28 00:00:00",school,1498608000
"2017-06-29 00:00:00",school,1498694400
"2017-06-30 00:00:00",school,1498780800
"2017-07-03 00:00:00",school,1499040000
"2017-07-04 00:00:00",school,1499126400
"2017-07-05 00:00:00",school,1499212800
"2017-07-06 00:00:00",school,1499299200
"2017-07-07 00:00:00",school,1499385600
"2017-07-10 00:00:00",school,1499644800
"2017-07-11 00:00:00",school,1499731200
"2017-07-12 00:00:00",school,1499817600
"2017-07-13 00:00:00",school,1499904000
"2017-07-14 00:00:00",school,1499990400
"2017-07-17 00:00:00",school,1500249600
"2017-07-18 00:00:00",school,1500336000
"2017-07-19 00:00:00",school,1500422400
"2017-07-20 00:00:00",school,1500508800
"2017-07-21 00:00:00",school,1500595200
"2017-07-24 00:00:00",school,1500854400
"2017-07-25 00:00:00",school,1500940800
"2017-07-26 00:00:00",school,1501027200
"2017-07-27 00:00:00",school,1501113600
"2017-07-28 00:00:00",school,1501200000
"2017-07-31 00:00:00",school,1501459200
"2017-08-01 00:00:00",school,1501545600
"2017-08-02 00:00:00",school,1501632000
"2017-08-03 00:00:00",school,1501718400
"2017-08-04 00:00:00",school,1501804800
"2017-08-07 00:00:00",all,1502064000
"2017-08-08 00:00:00",school,1502150400
"2017-08-09 00:00:00",school,1502236800
"2017-08-10 00:00:00",school,1502323200
"2017-08-11 00:00:00",school,1502409600
"2017-08-14 00:00:00",school,1502668800
"2017-08-15 00:00:00",school,1502755200
"2017-08-16 00:00:00",school,1502841600
"2017-08-17 00:00:00",school,1502928000
"2017-08-18 00:00:00",school,1503014400
"2017-08-21 00:00:00",school,1503273600
"2017-08-22 00:00:00",school,1503360000
"2017-08-23 00:00:00",school,1503446400
"2017-08-24 00:00:00",school,1503532800
"2017-08-25 00:00:00",school,1503619200
"2017-08-28 00:00:00",school,1503878400
"2017-08-29 00:00:00",school,1503964800
"2017-08-30 00:00:00",school,1504051200
"2017-08-31 00:00:00",school,1504137600
"2017-09-01 00:00:00",school,1504224000
"2017-10-30 00:00:00",all,1509321600
"2017-10-31 00:00:00",school,1509408000
"2017-11-01 00:00:00",school,1509494400
"2017-11-02 00:00:00",school,1509580800
"2017-11-03 00:00:00",school,1509667200
"2017-12-22 00:00:00",school,1513900800
"2017-12-25 00:00:00",all,1514160000
"2017-12-26 00:00:00",all,1514246400
"2017-12-27 00:00:00",all,1514332800
"2017-12-28 00:00:00",school,1514419200
"2017-12-29 00:00:00",school,1514505600
